	IDNCASE	ALIEN_CITY	ALIEN_STATE	NAT	LANG	CUSTODY	SITE_TYPE	E_28_DATE	ATTY_NBR	CASE_TYPE	UPDATE_SITE	LATEST_HEARING	LATEST_TIME	LATEST_CAL_TYPE	UP_BOND_DATE	UP_BOND_RSN	CORRECTIONAL_FAC	RELEASE_MONTH	RELEASE_YEAR	INMATE_HOUSING	DATE_OF_ENTRY	C_ASY_TYPE	C_BIRTHDATE	C_RELEASE_DATE	UPDATED_CITY	UPDATED_STATE	ADDRESS_CHANGEDON	ZBOND_MRG_FLAG	GENDER	DATE_DETAINED	DATE_RELEASED	LPR	DETENTION_DATE	DETENTION_LOCATION	DCO_LOCATION	DETENTION_FACILITY_TYPE	CASEPRIORITY_CODE	IDNPROCEEDING	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY_right	CASE_TYPE_right	NAT_right	LANG_right	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC_right	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED_right	DATE_RELEASED_right
13500	8962935			GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-02 00:00:00.000		7/2018						F									8753537	2019-06-04 00:00:00.000	2019-06-10 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13501	8962936			ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-01 00:00:00.000		2/1971						M									8753538	2019-06-04 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13502	8962273	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-01 00:00:00.000		8/2013						M									8752539	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13503	8962277	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-06-01 00:00:00.000		3/2016						M									8752544	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13504	8963776	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-07-29 00:00:00.000	1300.0	M							2019-06-03 00:00:00.000		5/2005						M									8754658	2019-06-04 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-29 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13505	8963777	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-11-04 00:00:00.000	1300.0	M							2019-06-03 00:00:00.000		1/1975						F									8754660	2019-06-04 00:00:00.000		ELP	ENP	GRG						2019-11-04 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13506	8961960	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-07-24 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		1/2017						F									8752113	2019-06-03 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	SBM						2019-07-24 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13507	8961969	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		12/1974						M									8752125	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13508	8961973	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		3/1978						F									8752129	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13509	8961976	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-10-29 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		7/2007						M									8752133	2019-06-03 00:00:00.000		ELP	ENP	GRG						2019-10-29 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
